"p","U:0","U:1","U:2","epsilon","k","nut","wallShearStress:0","wallShearStress:1","wallShearStress:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-9.3916,-0.6622,0.017472,0,396.87,0.82876,0.00016698,0.039187,-0.0011525,0,1,0.03239,0.03239,-0.025,0
-9.3933,-0.66519,0.017279,0,400.59,0.83398,0.00016773,0.039473,-0.0011414,0,1,0.032595,0.032595,-0.025,0
-9.3951,-0.66819,0.017086,0,404.31,0.83919,0.00016849,0.039758,-0.0011303,0,1,0.0328,0.0328,-0.025,0
-9.3965,-0.67115,0.016899,0,408.01,0.84436,0.00016924,0.04004,-0.0011195,0,1,0.033005,0.033005,-0.025,0
-9.3975,-0.67404,0.01672,0,411.68,0.84946,0.00016997,0.040317,-0.001109,0,1,0.03321,0.03321,-0.025,0
-9.3985,-0.67693,0.01654,0,415.36,0.85456,0.0001707,0.040595,-0.0010985,0,1,0.033415,0.033415,-0.025,0
-9.3995,-0.67983,0.016361,0,419.03,0.85966,0.00017143,0.040872,-0.0010879,0,1,0.03362,0.03362,-0.025,0
-9.4,-0.68266,0.016188,0,422.68,0.8647,0.00017215,0.041145,-0.0010777,0,1,0.033825,0.033825,-0.025,0
-9.4003,-0.68545,0.016021,0,426.31,0.86968,0.00017286,0.041415,-0.0010678,0,1,0.03403,0.03403,-0.025,0
-9.4005,-0.68825,0.015854,0,429.94,0.87467,0.00017357,0.041685,-0.0010578,0,1,0.034235,0.034235,-0.025,0
-9.4008,-0.69104,0.015686,0,433.57,0.87966,0.00017428,0.041955,-0.0010478,0,1,0.03444,0.03444,-0.025,0
-9.4005,-0.69377,0.015527,-6.771e-022,437.16,0.88456,0.00017498,0.042219,-0.0010382,1.6576e-022,1,0.034645,0.034645,-0.025,0
